hour_of_day,day_of_week,day_name,month,is_lunch_peak,is_dinner_peak,is_weekend,orders_next_30min
22,0,Mon,11,0,1,0,14
14,3,Thu,10,1,0,0,12
22,0,Mon,10,0,1,0,14
9,0,Mon,1,0,0,0,3
10,3,Thu,11,0,0,0,4
12,3,Thu,8,1,0,0,13
11,3,Thu,10,0,0,0,3
22,0,Mon,7,0,1,0,14
9,1,Tue,7,0,0,0,2
16,2,Wed,11,0,0,0,2
15,2,Wed,6,0,0,0,2
12,0,Mon,12,1,0,0,10
20,0,Mon,4,0,1,0,12
20,1,Tue,11,0,1,0,13
17,3,Thu,8,0,0,0,4
19,0,Mon,2,0,1,0,14
22,6,Sun,7,0,1,1,16
12,4,Fri,3,1,0,0,10
9,3,Thu,3,0,0,0,3
18,6,Sun,7,0,0,1,7
9,0,Mon,12,0,0,0,3
9,4,Fri,3,0,0,0,3
9,6,Sun,5,0,0,1,7
12,5,Sat,8,1,0,1,16
9,1,Tue,4,0,0,0,2
10,4,Fri,7,0,0,0,3
12,0,Mon,7,1,0,0,11
15,2,Wed,2,0,0,0,3
10,6,Sun,8,0,0,1,6
16,0,Mon,10,0,0,0,5
21,2,Wed,12,0,1,0,14
15,1,Tue,10,0,0,0,2
17,1,Tue,9,0,0,0,4
22,3,Thu,6,0,1,0,13
14,6,Sun,5,1,0,1,15
12,3,Thu,1,1,0,0,10
14,2,Wed,1,1,0,0,11
12,2,Wed,9,1,0,0,13
15,1,Tue,4,0,0,0,2
17,4,Fri,1,0,0,0,4
11,2,Wed,11,0,0,0,3
11,2,Wed,10,0,0,0,3
10,6,Sun,12,0,0,1,8
9,4,Fri,3,0,0,0,4
22,3,Thu,6,0,1,0,16
9,3,Thu,11,0,0,0,5
21,2,Wed,11,0,1,0,14
11,6,Sun,8,0,0,1,7
22,3,Thu,10,0,1,0,12
15,3,Thu,2,0,0,0,2
19,5,Sat,8,0,1,1,17
17,6,Sun,1,0,0,1,9
22,3,Thu,11,0,1,0,14
10,1,Tue,2,0,0,0,3
15,0,Mon,8,0,0,0,2
9,2,Wed,7,0,0,0,2
10,2,Wed,5,0,0,0,5
14,1,Tue,10,1,0,0,11
19,0,Mon,2,0,1,0,12
13,0,Mon,9,1,0,0,12
16,1,Tue,5,0,0,0,2
20,4,Fri,8,0,1,0,12
19,4,Fri,4,0,1,0,13
10,0,Mon,9,0,0,0,4
9,4,Fri,10,0,0,0,4
15,4,Fri,7,0,0,0,4
14,4,Fri,2,1,0,0,11
16,0,Mon,3,0,0,0,3
19,4,Fri,2,0,1,0,12
21,2,Wed,5,0,1,0,12
22,5,Sat,2,0,1,1,16
16,0,Mon,5,0,0,0,4
10,1,Tue,9,0,0,0,6
22,4,Fri,2,0,1,0,13
16,3,Thu,9,0,0,0,4
14,0,Mon,7,1,0,0,11
17,6,Sun,7,0,0,1,6
20,1,Tue,5,0,1,0,14
15,5,Sat,8,0,0,1,7
10,2,Wed,7,0,0,0,3
16,6,Sun,6,0,0,1,6
17,1,Tue,2,0,0,0,2
15,4,Fri,6,0,0,0,4
12,3,Thu,2,1,0,0,12
17,4,Fri,1,0,0,0,2
12,1,Tue,9,1,0,0,15
20,0,Mon,5,0,1,0,14
12,6,Sun,10,1,0,1,17
17,3,Thu,10,0,0,0,3
22,6,Sun,4,0,1,1,16
16,6,Sun,12,0,0,1,7
12,3,Thu,11,1,0,0,12
22,1,Tue,8,0,1,0,12
16,5,Sat,5,0,0,1,7
16,5,Sat,7,0,0,1,8
15,4,Fri,3,0,0,0,3
18,1,Tue,8,0,0,0,3
21,3,Thu,8,0,1,0,15
14,1,Tue,3,1,0,0,13
16,3,Thu,9,0,0,0,3
15,6,Sun,8,0,0,1,10
13,4,Fri,1,1,0,0,11
20,0,Mon,8,0,1,0,12
21,6,Sun,12,0,1,1,17
21,0,Mon,11,0,1,0,15
12,1,Tue,4,1,0,0,15
22,3,Thu,6,0,1,0,15
20,0,Mon,10,0,1,0,15
10,6,Sun,9,0,0,1,6
19,3,Thu,5,0,1,0,15
16,4,Fri,7,0,0,0,2
17,6,Sun,1,0,0,1,7
12,1,Tue,9,1,0,0,11
12,3,Thu,6,1,0,0,13
13,1,Tue,11,1,0,0,12
10,3,Thu,4,0,0,0,3
15,6,Sun,6,0,0,1,8
13,5,Sat,5,1,0,1,14
14,5,Sat,3,1,0,1,16
12,3,Thu,7,1,0,0,12
16,4,Fri,3,0,0,0,3
16,1,Tue,2,0,0,0,5
20,2,Wed,4,0,1,0,14
13,3,Thu,7,1,0,0,11
20,3,Thu,5,0,1,0,13
14,5,Sat,9,1,0,1,14
11,0,Mon,10,0,0,0,3
9,6,Sun,7,0,0,1,7
17,5,Sat,12,0,0,1,7
17,1,Tue,9,0,0,0,2
11,5,Sat,9,0,0,1,6
12,2,Wed,12,1,0,0,11
21,4,Fri,2,0,1,0,12
15,6,Sun,1,0,0,1,8
10,2,Wed,11,0,0,0,2
20,4,Fri,4,0,1,0,13
11,2,Wed,4,0,0,0,3
14,6,Sun,2,1,0,1,15
19,5,Sat,3,0,1,1,16
16,2,Wed,3,0,0,0,3
9,5,Sat,5,0,0,1,7
12,6,Sun,1,1,0,1,17
9,5,Sat,9,0,0,1,10
10,1,Tue,8,0,0,0,4
16,5,Sat,8,0,0,1,7
14,0,Mon,3,1,0,0,12
17,2,Wed,2,0,0,0,3
