hour_of_day,day_of_week,day_name,active_orders,active_items,order_size,is_peak_hour,is_weekend,wait_time_mins
16,4,Fri,23,0,5,0,0,55.7
13,4,Fri,22,9,6,1,0,60.0
22,6,Sun,1,42,1,0,1,28.2
20,0,Mon,18,15,7,1,0,60.0
17,2,Wed,0,45,3,0,0,24.2
22,3,Thu,24,7,6,0,0,57.4
14,1,Tue,6,55,7,1,0,59.1
16,4,Fri,16,48,3,0,0,51.9
19,5,Sat,2,24,6,1,1,32.5
12,5,Sat,19,49,4,1,1,60.0
16,3,Thu,19,11,5,0,0,48.9
20,5,Sat,20,24,2,1,1,60.0
20,2,Wed,2,16,5,1,0,28.3
17,5,Sat,2,59,1,0,1,32.4
14,1,Tue,16,25,7,1,0,60.0
13,1,Tue,6,45,2,1,0,45.0
17,4,Fri,13,47,3,0,0,45.2
17,0,Mon,16,13,4,0,0,43.2
12,6,Sun,17,40,4,1,1,60.0
15,2,Wed,12,35,3,0,0,40.9
14,4,Fri,19,56,1,1,0,60.0
11,2,Wed,19,22,3,0,0,49.4
17,0,Mon,20,42,6,0,0,59.8
21,5,Sat,17,5,7,1,1,60.0
15,5,Sat,3,46,7,0,1,43.9
11,6,Sun,0,4,1,0,1,6.3
21,0,Mon,17,42,2,1,0,60.0
14,4,Fri,0,24,3,1,0,19.9
10,6,Sun,12,17,1,0,1,40.2
21,0,Mon,19,12,7,1,0,60.0
19,3,Thu,19,42,2,1,0,60.0
15,1,Tue,22,13,3,0,0,56.2
22,6,Sun,9,27,4,0,1,38.9
21,6,Sun,10,17,3,1,1,57.3
18,4,Fri,8,58,5,0,0,42.0
10,2,Wed,8,59,3,0,0,43.7
20,3,Thu,4,56,5,1,0,55.1
20,4,Fri,0,27,2,1,0,21.0
19,0,Mon,16,50,3,1,0,60.0
21,0,Mon,21,55,2,1,0,60.0
21,0,Mon,1,26,2,1,0,24.4
12,0,Mon,23,31,7,1,0,60.0
21,2,Wed,12,46,1,1,0,57.3
16,3,Thu,8,8,2,0,0,22.4
13,5,Sat,3,39,2,1,1,45.1
18,1,Tue,4,31,7,0,0,30.5
12,2,Wed,10,19,7,1,0,47.9
14,2,Wed,23,27,3,1,0,60.0
12,5,Sat,18,32,7,1,1,60.0
16,5,Sat,20,3,3,0,1,53.8
14,1,Tue,2,45,4,1,0,42.2
18,1,Tue,11,56,7,0,0,48.8
16,5,Sat,18,33,1,0,1,57.8
11,0,Mon,18,47,2,0,0,55.4
13,2,Wed,12,2,1,1,0,40.0
18,4,Fri,6,25,5,0,0,26.5
21,1,Tue,14,7,7,1,0,57.5
11,1,Tue,22,5,2,0,0,47.7
19,5,Sat,6,15,1,1,1,39.0
